Carrier,Airport_Distance,Number_of_flights,Weather,Support_Crew_Available,Baggage_loading_time,Late_Arrival_o,Cleaning_o,Fueling_o,Security_o,Arr_Delay
EV,429,45799,6,73,18,19,5,26,46,84
AA,467,43914,6,95,17,19,9,25,30,95
B6,478,48485,6,81,18,19,7,22,42,103
B6,438,42170,5,58,17,19,9,24,38,80
UA,420,42278,5,41,17,20,7,23,41,88
US,442,42912,6,70,17,19,10,24,26,59
UA,438,43670,5,83,16,19,8,27,38,55
B6,461,44934,5,35,17,19,6,24,27,77
UA,473,44467,6,18,18,20,11,28,44,115
UA,447,44102,5,73,16,18,8,22,36,51
B6,431,45636,5,21,16,19,5,19,32,60
B6,466,44498,6,32,18,19,8,19,42,96
DL,427,38936,6,150,17,18,8,29,36,50
DL,414,37212,5,177,15,17,9,30,30,10
DL,445,39319,5,91,16,18,12,20,33,40
DL,437,44826,6,54,18,20,5,22,40,101
AA,425,43992,6,89,18,19,12,22,43,84
AA,459,44524,5,57,17,19,2,28,33,83
MQ,427,43738,5,106,17,19,4,29,36,43
UA,454,43460,5,65,18,20,11,25,40,80
DL,443,47063,6,66,17,20,11,28,41,114
DL,472,45162,6,153,18,20,10,23,42,93
VX,413,40703,5,75,16,18,4,25,36,18
AA,452,41761,6,105,17,18,7,29,32,59
B6,456,38939,5,127,16,18,16,31,34,30
DL,431,42880,6,140,18,19,9,23,39,87
UA,412,40863,6,147,16,17,9,23,41,34
UA,447,42236,5,116,17,20,12,24,38,83
B6,453,45959,6,42,17,19,12,22,53,94
UA,418,39152,5,136,16,18,12,23,26,10
B6,424,38334,5,166,16,18,12,23,32,38
AA,439,43504,5,73,17,19,12,21,32,59
UA,497,44430,5,66,17,18,9,21,27,68
FL,438,40927,5,105,16,17,10,28,34,39
B6,437,44379,5,57,17,18,7,22,49,41
UA,427,48776,5,110,18,20,8,24,50,115
AA,436,42387,5,122,16,18,4,25,31,53
AS,434,43486,6,68,17,19,11,27,35,82
AA,444,39018,5,162,17,18,10,29,29,52
UA,445,44210,6,58,17,18,12,23,30,71
UA,464,45914,5,37,18,19,5,25,26,113
VX,460,47124,6,119,17,19,9,26,40,100
B6,457,46471,6,78,18,19,12,29,34,118
B6,445,44860,5,79,17,19,3,20,39,63
UA,432,43804,6,87,17,18,8,23,29,68
B6,466,44153,5,126,18,19,10,24,38,103
B6,471,42556,5,81,17,18,4,22,37,38
AA,453,42034,5,138,17,18,5,21,55,67
UA,447,43684,6,145,17,18,15,34,49,55
B6,422,46407,6,102,17,20,7,24,41,94
AA,433,45740,5,77,17,19,9,20,32,48
B6,449,47524,5,36,18,19,10,20,39,86
DL,453,38996,6,52,16,18,14,26,28,59
AA,454,43704,5,123,18,19,8,25,34,92
UA,416,44192,6,46,17,20,12,27,33,85
MQ,455,43507,5,48,17,18,9,27,45,80
DL,441,47862,5,134,18,20,5,25,35,123
UA,422,50365,5,88,18,20,9,25,40,113
US,441,43815,6,55,17,20,12,19,30,71
AA,399,42572,5,150,16,19,6,30,45,46
DL,420,38499,5,113,16,18,5,22,32,16
WN,449,44579,6,105,17,18,9,22,43,78
B6,433,42057,5,52,17,19,15,30,33,84
DL,441,44111,5,105,17,18,9,24,43,68
DL,432,45031,5,50,17,19,10,23,31,79
MQ,451,41201,6,105,16,18,9,28,33,42
B6,456,41446,5,93,17,19,4,30,30,38
AA,435,43374,6,135,16,20,7,31,36,40
UA,457,44246,5,151,17,19,15,26,30,70
DL,462,43453,5,102,17,18,16,20,34,55
B6,413,34943,6,184,16,16,11,28,29,6
B6,431,42470,6,110,16,18,9,24,48,36
MQ,456,42894,5,146,17,18,11,30,39,64
DL,454,41589,6,63,18,18,11,26,21,104
EV,452,48188,6,66,18,19,17,28,32,129
9E,421,44691,5,105,18,19,5,22,34,79
DL,457,46810,6,105,18,19,13,25,41,94
EV,441,46204,5,58,17,19,12,16,44,101
MQ,434,44322,5,31,17,19,14,25,39,91
US,441,44389,5,127,17,19,7,26,44,72
EV,440,42768,5,55,16,19,5,21,32,54
DL,422,40288,5,69,16,18,12,26,36,51
FL,461,46613,5,103,17,19,12,30,34,89
B6,450,45586,6,128,17,18,9,23,31,77
B6,443,41000,6,1,17,19,16,22,51,71
DL,438,43875,6,89,17,19,14,24,45,74
DL,419,43482,5,32,16,18,10,28,30,43
B6,467,43803,5,164,17,19,7,25,36,57
MQ,416,42951,5,74,16,18,12,23,28,65
EV,457,44384,6,65,18,20,6,24,37,92
US,414,39823,5,159,16,18,12,25,35,25
UA,431,39322,5,8,16,19,12,23,54,45
AA,439,40438,5,135,17,18,8,24,42,48
B6,412,42325,5,142,16,17,12,29,26,33
AA,431,44174,6,79,18,20,13,24,32,99
UA,454,40915,5,159,17,18,13,27,42,33
B6,423,39496,5,109,16,19,9,26,32,54
UA,450,47162,5,42,18,19,11,28,55,102
UA,442,46261,5,95,17,19,9,22,36,52
UA,475,47080,6,50,17,19,10,25,35,110
AA,443,40703,5,62,16,18,13,29,42,27
MQ,457,40498,5,87,17,18,15,27,30,42
EV,469,43951,5,44,17,19,6,28,44,70
MQ,416,37055,5,165,16,17,8,23,41,6
F9,438,41098,5,77,17,19,17,16,47,59
AA,439,44447,5,116,17,19,6,28,30,72
MQ,452,45841,6,36,18,19,8,30,45,86
AA,417,42902,6,77,17,19,5,27,29,64
DL,454,40637,5,122,17,18,11,28,35,43
B6,415,41731,6,46,17,19,5,26,31,67
MQ,422,36944,5,143,16,18,16,21,42,14
UA,466,45092,5,70,17,19,16,22,38,88
EV,435,45130,5,95,17,19,4,23,34,72
DL,416,44928,5,79,17,18,12,22,25,79
UA,434,43265,5,68,17,19,6,21,34,56
WN,421,43910,5,19,17,19,12,27,40,61
B6,450,37693,5,72,17,18,13,30,29,48
DL,441,44453,5,94,17,18,8,24,38,84
AA,464,46411,6,39,18,20,12,28,34,130
DL,455,47220,6,112,18,19,3,25,38,90
UA,417,38341,5,98,15,18,11,30,46,12
HA,433,40420,5,119,16,18,15,31,34,26
DL,439,46077,5,66,17,20,9,26,38,92
DL,459,44652,5,59,17,19,12,25,43,67
UA,411,43671,6,72,17,18,14,28,24,58
MQ,459,45435,6,57,18,19,13,24,24,108
DL,459,39843,6,96,17,19,14,24,38,77
VX,449,45750,6,67,18,19,5,25,41,123
UA,442,46524,6,41,18,20,16,24,47,118
UA,456,45521,6,51,17,19,12,22,36,96
MQ,416,43882,5,58,17,18,11,24,36,57
UA,435,46012,5,47,17,19,7,24,40,101
B6,438,45657,5,44,16,18,14,17,25,82
UA,449,48162,6,22,17,20,11,20,43,115
B6,413,40564,5,100,16,19,9,26,35,40
US,424,40742,6,98,17,18,9,22,33,56
UA,444,41325,5,64,17,19,7,30,39,55
AA,430,44178,5,99,17,18,11,20,42,79
AA,445,40809,5,25,18,19,8,25,47,79
UA,438,41607,6,143,17,18,8,21,30,56
UA,423,41117,5,92,16,19,7,26,34,40
AA,440,40862,5,217,16,18,12,23,50,38
UA,439,43486,5,76,17,19,12,23,33,47
AA,408,37948,6,80,16,17,9,20,42,10
B6,475,43179,6,70,18,19,7,33,54,86
B6,461,50265,5,75,18,20,12,20,38,111
B6,458,44563,5,27,18,19,14,29,34,89
MQ,430,37899,6,134,15,18,12,24,35,13
DL,450,39149,6,38,17,19,13,25,32,46
B6,452,41310,5,1,17,19,11,29,30,59
B6,474,45442,5,70,18,19,9,25,43,85
B6,439,47585,5,52,18,18,9,30,30,83
UA,459,41236,5,118,17,19,10,21,36,74
DL,410,39259,5,130,16,18,4,24,36,36
EV,438,43817,6,95,17,18,8,25,32,62
WN,408,39958,5,83,16,18,10,25,30,39
UA,418,44504,5,55,17,20,13,26,45,73
B6,447,45528,6,68,18,19,5,27,44,89
UA,446,42086,6,67,17,20,11,25,39,92
VX,424,41437,5,108,17,18,11,30,29,43
B6,440,41936,5,98,16,18,9,23,27,29
B6,423,44597,6,109,17,19,16,22,36,82
WN,454,43438,5,70,18,19,15,27,42,79
DL,453,42816,5,140,17,19,7,29,35,74
DL,478,43556,5,14,17,19,5,24,30,75
B6,468,42750,5,102,17,19,6,20,44,92
WN,423,43449,5,201,17,18,9,22,45,44
AA,456,43003,5,115,17,19,11,27,30,60
MQ,427,41060,5,97,16,18,10,23,39,36
B6,435,42131,5,60,16,18,12,22,32,49
EV,453,44915,6,51,18,20,14,27,45,113
B6,419,42726,5,30,16,18,14,31,37,48
EV,431,43413,5,99,17,18,1,22,47,43
MQ,452,48389,6,88,18,20,7,24,24,122
UA,440,46978,5,36,18,20,9,23,30,100
US,425,41679,5,146,16,18,6,24,32,30
DL,462,44795,6,136,17,19,10,20,31,90
UA,426,42930,5,76,16,18,5,25,34,53
DL,429,45709,5,115,17,19,7,23,47,59
US,428,42923,5,42,17,19,10,21,36,79
B6,478,44274,5,100,17,19,8,22,45,63
US,447,45113,5,73,17,19,8,23,31,68
UA,466,42839,5,84,17,19,3,17,39,75
MQ,441,44602,6,117,17,19,9,24,39,101
DL,466,45764,5,10,17,19,10,25,41,99
US,412,44910,5,87,17,18,7,23,37,51
US,454,46185,6,132,17,19,5,23,34,105
EV,416,46512,5,43,18,20,12,23,37,106
DL,433,40438,5,59,16,18,17,32,41,44
FL,423,41621,6,132,17,18,8,25,49,55
EV,440,46439,5,107,17,19,9,25,48,89
MQ,448,38015,5,148,15,17,7,23,32,10
AA,444,44284,5,59,17,19,8,31,34,67
UA,431,43712,5,43,17,19,10,25,36,64
AA,441,43766,6,81,18,20,4,25,36,90
UA,412,36038,5,154,16,18,11,23,40,16
AA,475,43512,6,51,17,19,14,24,38,100
EV,471,45465,6,31,18,19,7,24,36,130
VX,473,46666,5,85,18,18,13,27,37,106
UA,451,43019,5,80,18,19,11,29,38,92
EV,445,41756,5,111,16,19,9,26,33,37
UA,428,43092,6,31,16,19,13,27,28,56
AA,443,43924,6,48,17,20,9,26,41,100
UA,442,44299,5,59,18,19,9,21,42,95
B6,476,42534,5,148,17,18,12,27,39,74
EV,454,43317,5,87,18,19,9,21,33,111
UA,435,43761,5,85,17,20,10,20,41,85
UA,410,44537,6,62,17,19,13,26,42,77
AA,413,35093,5,138,15,18,13,24,33,8
DL,461,49966,6,114,18,20,7,29,38,148
MQ,446,45429,5,63,17,19,16,30,29,66
B6,469,42128,5,94,17,20,15,26,31,98
DL,446,47775,6,75,17,19,5,23,43,88
EV,420,42628,6,97,17,19,7,26,38,65
DL,433,41528,5,109,17,18,12,23,42,56
US,439,41249,5,96,17,19,8,23,34,53
WN,463,42950,5,74,18,20,14,20,35,98
MQ,413,41130,5,84,17,18,7,26,56,29
UA,452,50573,5,67,18,20,7,28,48,144
B6,452,44146,5,118,17,19,9,24,39,55
DL,450,45206,5,83,18,19,8,29,32,100
UA,425,38106,5,124,16,19,13,19,32,33
MQ,441,41634,6,166,17,17,9,21,38,48
AA,412,46591,6,66,18,20,7,22,33,120
B6,439,42836,5,92,17,18,3,29,47,47
UA,459,45581,6,107,17,19,8,21,23,89
DL,460,40970,5,33,17,19,10,27,41,60
UA,450,41356,5,121,16,19,9,30,33,42
EV,432,45457,6,154,17,18,13,27,47,87
WN,444,39480,6,75,17,18,9,29,41,50
UA,398,43826,5,132,17,19,8,31,47,78
B6,466,42404,6,111,17,17,13,25,42,46
DL,428,41764,6,115,16,19,5,25,51,30
US,437,46428,5,8,18,20,13,29,35,123
EV,440,41680,5,78,17,20,13,26,27,65
UA,438,44246,5,74,17,19,11,19,47,84
UA,432,44191,5,103,17,18,15,22,31,86
UA,448,43332,6,77,17,19,8,24,39,105
AA,446,44241,5,97,17,19,6,23,44,59
DL,439,44755,5,62,18,20,12,20,34,105
MQ,459,43554,6,71,18,19,13,26,37,81
B6,418,40521,5,73,16,18,8,32,43,41
VX,453,45740,6,24,18,20,10,24,31,117
AA,435,40919,5,186,17,18,13,22,43,49
DL,445,45924,5,152,17,18,7,28,23,67
UA,423,39446,5,108,17,18,17,25,36,50
EV,439,44390,5,43,17,19,13,18,27,80
FL,441,43000,5,132,16,18,9,25,37,40
EV,450,40500,5,84,16,19,9,26,29,27
EV,432,43012,5,92,16,18,10,21,41,41
B6,417,39994,5,70,17,19,10,29,39,61
DL,489,49079,6,60,18,20,8,20,29,125
B6,435,43932,5,98,18,19,4,22,39,90
MQ,457,49194,5,83,18,19,14,26,34,121
AA,435,42204,5,78,16,20,11,22,38,33
DL,415,37515,6,132,16,18,14,28,42,36
DL,439,41726,5,42,17,19,16,25,46,71
MQ,474,45995,6,88,18,20,6,25,48,112
EV,476,49145,6,174,18,19,8,23,37,135
MQ,451,42012,5,88,16,19,9,19,40,43
UA,440,40758,5,61,16,18,10,33,36,43
AA,429,45387,6,74,17,18,15,25,38,59
WN,395,36185,5,124,15,17,4,26,32,4
UA,454,40211,6,75,17,18,11,24,37,66
US,439,39238,6,80,17,19,7,22,32,63
EV,444,45425,6,141,17,19,13,27,37,82
UA,436,45288,6,76,17,19,11,26,21,96
EV,445,39766,5,88,17,18,7,20,32,46
VX,429,39446,5,50,17,19,6,32,41,58
B6,441,46204,6,110,17,19,13,25,28,85
UA,435,41339,6,64,17,19,7,26,40,66
EV,440,41695,5,53,17,18,12,23,34,79
B6,437,42696,5,87,17,18,9,26,26,61
EV,435,45026,6,69,18,19,12,30,33,106
MQ,437,40959,6,122,16,18,15,28,41,39
UA,461,48148,6,106,18,20,8,23,42,125
AA,454,44818,6,48,18,19,11,29,38,100
DL,463,48193,5,1,18,20,7,24,42,121
WN,425,40571,5,91,17,17,5,25,41,37
EV,462,40000,5,47,16,18,17,28,31,52
B6,486,46053,5,48,17,19,9,25,37,102
UA,441,44205,5,86,17,18,12,25,32,68
EV,425,44302,5,98,17,19,15,31,30,69
DL,431,45773,6,52,17,20,14,24,46,74
UA,483,44511,5,61,17,19,15,25,38,93
AA,466,48271,5,65,18,19,10,18,46,111
WN,434,44227,5,115,17,19,7,28,35,63
EV,462,44907,5,77,17,18,15,22,48,83
AA,480,49174,6,65,18,20,10,19,42,160
MQ,429,36591,6,53,16,18,9,28,50,34
EV,439,43364,5,80,17,19,6,27,38,45
DL,414,45277,6,132,18,19,7,26,20,89
DL,456,49235,6,38,18,19,13,26,33,114
B6,436,38711,5,6,16,18,13,27,44,44
UA,413,38356,5,98,16,18,9,27,44,21
B6,441,46767,5,90,16,19,13,26,19,67
AA,424,42310,6,120,17,19,11,27,36,81
UA,449,44057,5,72,17,19,13,25,49,69
DL,438,44119,5,144,17,18,10,30,38,67
WN,433,41726,5,91,17,18,9,29,43,56
MQ,394,38650,5,134,17,17,11,22,41,21
US,430,42044,5,47,16,18,4,26,43,48
US,426,45105,5,108,17,19,5,24,52,61
B6,439,41221,6,77,18,19,13,32,35,73
MQ,422,45323,5,51,17,19,6,20,48,61
FL,484,43757,5,153,17,19,14,23,45,74
AA,432,46516,5,79,17,19,8,33,39,90
AA,412,37861,5,131,15,17,8,30,29,11
MQ,428,42962,6,76,17,19,5,20,35,57
UA,424,41382,5,151,17,18,5,26,43,61
B6,435,46988,6,59,17,20,5,25,37,108
UA,408,41991,5,165,16,18,13,30,39,23
EV,473,43430,6,6,18,19,3,23,48,100
B6,425,42576,5,103,16,19,6,27,37,39
MQ,450,47447,5,27,18,19,9,27,39,86
AA,420,43916,5,77,17,21,8,21,43,80
WN,438,42298,5,82,16,18,11,29,29,59
B6,431,42801,5,97,17,18,15,26,21,45
US,466,45217,6,49,18,21,5,23,35,137
EV,453,46679,5,23,18,19,5,29,47,89
EV,413,39793,5,74,16,17,11,20,30,39
MQ,458,49975,5,85,18,20,23,26,31,127
EV,441,47059,5,86,17,20,6,26,47,92
B6,435,39413,5,73,16,19,12,25,25,48
UA,420,42437,5,122,17,18,14,33,33,39
DL,426,39051,5,119,16,18,5,24,37,20
DL,424,43612,5,89,18,19,12,22,38,87
VX,422,44869,5,59,17,19,9,24,32,72
UA,436,43643,5,59,17,19,9,27,33,66
EV,438,42573,5,32,17,17,10,27,44,49
B6,423,46506,5,4,18,19,9,29,39,97
EV,450,44442,6,106,18,19,11,27,33,93
B6,447,44258,6,91,16,20,5,26,33,83
AA,469,41113,5,85,17,19,12,24,39,49
B6,458,42091,5,96,17,18,10,23,33,35
AA,427,44676,5,81,17,19,5,23,43,75
EV,416,40239,5,149,17,19,20,30,42,71
AA,434,43130,5,103,17,18,5,29,28,45
UA,437,41822,5,150,17,19,10,23,52,68
WN,438,38604,5,99,16,18,13,25,28,56
EV,461,45610,6,90,17,19,11,25,39,99
B6,458,45925,5,36,18,20,11,25,38,125
EV,471,45066,6,47,17,19,14,27,34,122
EV,424,44484,5,66,17,19,14,29,38,98
EV,461,44395,5,50,17,18,6,32,45,70
DL,437,44432,5,91,17,19,14,29,27,60
EV,433,46984,5,113,18,20,10,22,29,100
B6,463,43648,6,85,18,19,4,32,47,106
WN,437,42848,5,42,17,19,9,24,34,56
MQ,423,45154,5,81,17,18,16,24,36,75
UA,463,48994,6,98,18,19,12,24,36,98
UA,435,44963,5,44,17,19,8,17,42,70
UA,442,48816,5,73,18,19,10,25,33,101
US,462,48129,6,46,18,19,10,25,47,132
EV,417,37078,5,110,16,16,10,32,58,9
DL,448,46889,5,117,18,20,16,22,37,118
EV,458,41219,6,93,17,18,13,25,46,47
FL,431,43342,6,12,18,20,8,29,40,102
B6,438,46675,5,124,17,19,8,30,45,66
UA,481,44182,5,81,18,18,9,24,36,78
UA,451,45697,6,8,17,18,13,21,39,99
MQ,414,38754,5,112,17,18,6,28,19,27
B6,412,46675,5,67,17,20,13,23,40,68
B6,454,44376,5,77,17,20,12,26,42,97
DL,440,43721,5,79,17,20,16,23,32,92
MQ,442,44095,6,30,17,19,9,24,40,108
UA,451,43292,5,115,17,20,12,27,33,72
EV,455,43688,5,73,17,18,11,28,37,60
EV,416,38738,5,99,16,18,7,26,39,24
EV,430,45229,6,47,18,20,8,19,40,120
B6,445,43386,6,150,18,19,8,28,38,89
UA,439,43895,6,87,18,20,6,25,44,91
UA,413,38313,6,120,15,18,10,27,30,15
B6,450,42256,5,111,16,18,12,27,20,40
UA,435,42033,5,41,16,19,6,27,40,44
DL,410,45795,6,96,17,19,12,26,29,56
DL,415,35525,5,165,15,17,9,30,39,3
DL,462,43117,5,109,17,18,10,19,37,77
DL,437,43731,5,56,17,19,16,31,44,47
AA,459,47067,5,71,18,20,10,24,34,103
EV,456,43912,5,97,18,20,9,29,41,100
AA,419,42727,5,85,17,18,8,28,35,82
MQ,445,42894,5,115,17,18,6,30,36,76
AA,426,42692,5,127,16,18,12,27,39,31
US,474,45740,6,97,17,20,11,23,40,111
MQ,460,41383,6,143,17,18,7,20,29,51
9E,455,44816,5,117,17,19,11,22,32,64
9E,462,44309,5,91,17,18,11,25,31,56
B6,422,34951,5,177,15,17,13,28,37,5
MQ,419,44616,5,143,17,18,13,30,30,68
US,449,41773,5,105,17,18,9,27,41,51
EV,464,42933,5,112,17,20,10,32,44,84
9E,449,46657,6,93,18,19,12,31,46,102
DL,461,44952,6,69,17,20,16,27,42,78
B6,438,45021,6,129,18,20,10,26,53,106
B6,457,44905,5,174,17,19,14,26,43,71
DL,473,44595,5,23,18,20,6,25,38,98
UA,418,41061,5,66,17,18,8,26,47,43
UA,457,42784,5,47,17,18,10,26,42,61
UA,447,46190,6,34,17,19,5,28,42,103
US,443,43495,6,127,17,18,12,21,30,59
MQ,435,44948,6,18,17,19,13,30,39,71
EV,453,45524,6,110,17,20,14,22,39,102
UA,486,42963,5,134,16,18,5,23,35,46
B6,443,42962,5,48,17,18,9,23,39,63
UA,426,43185,5,18,17,18,8,23,32,43
EV,434,41217,5,141,16,19,10,28,36,46
MQ,450,39462,5,45,16,18,14,23,39,38
AA,426,38543,6,102,16,19,10,31,40,45
UA,460,42312,5,50,17,19,12,30,30,63
9E,449,48094,6,47,17,20,15,28,47,99
MQ,395,37285,5,134,16,17,8,23,41,11
UA,436,42209,5,153,16,18,13,15,38,43
B6,433,42667,5,48,17,19,5,23,41,63
DL,438,45869,6,46,18,19,14,23,35,109
DL,452,45416,6,81,17,20,14,23,43,96
B6,427,39892,5,153,16,19,19,30,42,25
EV,450,43125,5,123,17,19,9,29,27,59
MQ,430,45616,6,75,18,20,4,28,47,108
B6,470,45097,6,174,17,20,9,23,41,87
UA,475,44182,5,27,17,20,10,26,32,66
AA,428,40425,6,145,16,18,8,31,40,28
MQ,456,47035,6,41,18,19,5,30,28,114
UA,446,45036,5,78,17,19,10,22,38,86
DL,433,41140,5,90,16,18,8,25,32,39
MQ,445,46452,5,114,18,20,5,28,28,133
UA,444,42029,5,146,17,20,9,25,46,58
UA,437,48377,5,111,17,18,10,17,44,92
B6,453,44650,6,150,17,19,9,26,38,85
B6,444,43965,5,45,17,19,10,29,13,79
WN,437,41983,5,89,17,19,16,24,37,72
AA,446,44662,5,58,17,20,9,24,39,94
B6,425,42775,6,103,17,19,9,28,32,68
B6,427,41651,5,82,17,19,8,30,37,69
UA,450,44940,6,101,18,19,16,30,29,104
AA,427,42492,6,120,17,18,6,28,28,70
UA,433,49082,5,56,18,20,9,27,49,124
US,422,40140,5,41,16,18,5,22,49,43
9E,447,43605,5,114,17,18,8,18,46,67
EV,446,44986,5,67,18,19,13,23,43,78
EV,443,44600,5,109,17,20,8,20,46,69
UA,437,39864,5,118,16,18,16,30,42,24
EV,429,42582,5,120,17,19,10,22,37,71
WN,439,39152,5,102,16,17,12,25,44,15
DL,474,44669,5,76,18,19,12,20,27,94
AA,434,40149,5,151,16,18,14,24,29,27
AA,425,44771,5,32,17,19,9,21,38,65
UA,435,44219,6,110,17,19,11,17,46,70
B6,452,42069,5,57,17,19,15,23,29,66
DL,460,46812,6,96,18,20,11,27,31,109
DL,433,44746,6,71,17,18,11,28,31,61
UA,452,41248,5,86,17,19,11,29,36,59
9E,432,42486,5,79,17,19,13,28,24,61
DL,452,43478,6,69,18,20,9,31,39,86
MQ,436,47674,6,73,18,20,11,27,37,125
EV,420,40731,5,132,16,18,15,21,42,24
UA,456,42641,5,9,17,19,10,18,46,83
9E,451,47209,5,89,18,20,6,24,45,103
EV,453,41275,5,46,16,19,17,20,40,57
FL,471,43377,5,105,17,18,5,24,30,53
9E,438,43629,5,60,17,19,10,23,29,52
AA,424,38695,5,81,16,18,14,21,36,12
9E,438,46413,6,71,17,19,1,25,44,87
DL,457,43804,5,96,17,18,8,24,30,76
MQ,455,43056,5,150,17,19,9,27,37,73
EV,460,44685,6,64,17,18,16,18,24,98
DL,424,39765,5,111,16,17,12,21,24,33
UA,455,45223,5,92,17,19,11,30,32,79
EV,436,40298,5,157,17,18,10,21,42,56
EV,428,41265,5,67,16,18,16,23,38,60
B6,452,43549,6,64,18,19,7,25,26,87
DL,434,41893,5,212,17,18,13,28,30,57
9E,436,38226,5,192,15,17,9,26,29,13
UA,451,46812,5,61,17,20,6,22,38,117
DL,437,39565,6,143,16,19,15,24,47,39
EV,470,46017,6,73,18,20,8,21,40,119
B6,444,44402,5,96,17,19,13,27,36,66
WN,431,40189,5,51,17,17,12,23,39,53
MQ,441,43183,5,44,17,18,15,26,41,53
UA,433,42550,5,68,16,19,17,25,36,70
MQ,464,42831,5,4,17,19,13,27,32,67
AA,433,41289,6,71,17,19,12,33,42,82
B6,448,44280,5,22,17,19,9,25,51,82
UA,426,45052,5,98,17,19,12,21,49,66
AA,433,43084,5,119,17,19,5,25,40,57
AA,451,48547,6,91,18,20,22,21,43,114
B6,456,42611,6,58,17,19,12,36,28,42
DL,427,41562,5,145,17,19,4,33,39,60
DL,439,41780,5,90,17,19,12,21,41,55
DL,435,45349,6,150,17,19,3,30,47,104
UA,468,41706,5,55,17,19,5,21,46,68
EV,454,43761,6,107,17,19,15,26,41,77
MQ,436,40606,5,13,17,18,9,27,36,50
UA,453,39812,6,167,16,18,5,23,46,29
DL,423,38965,5,152,16,19,3,32,37,24
US,417,43453,5,103,16,18,6,24,20,53
AA,466,41290,5,66,17,19,9,19,36,68
B6,452,45254,6,3,18,19,12,25,35,125
DL,453,46112,5,125,17,19,11,29,45,69
B6,471,41668,6,74,17,19,11,27,34,57
VX,437,42792,5,78,17,19,14,24,50,76
EV,442,43841,5,35,17,19,12,20,36,72
DL,440,49122,5,64,17,20,7,24,38,99
EV,444,44381,6,55,17,19,5,27,42,60
B6,440,44938,5,51,17,19,15,27,44,111
EV,423,43470,5,86,18,19,7,24,39,87
US,466,44352,5,119,18,19,9,28,37,73
UA,438,44061,6,91,17,19,9,27,47,87
WN,428,45611,5,33,17,20,12,26,19,88
MQ,451,43576,5,24,17,18,13,29,38,81
UA,440,43689,5,23,17,18,9,24,36,57
UA,420,45181,6,91,17,20,11,25,41,94
B6,454,46920,5,94,18,20,13,22,34,109
9E,453,45492,5,65,17,19,16,27,21,83
EV,442,44881,5,46,16,19,15,26,46,76
MQ,436,43123,5,19,17,20,5,31,42,91
AA,422,43465,5,103,17,20,3,26,41,72
UA,444,45292,5,20,17,19,7,29,33,85
EV,453,46656,5,69,17,19,18,30,36,100
EV,408,37378,5,132,15,18,18,23,24,11
B6,446,45152,5,53,17,19,12,16,32,84
B6,466,49736,6,21,18,20,9,26,35,153
AA,446,44468,5,20,17,18,12,26,44,84
DL,434,44242,5,139,17,18,7,23,35,58
EV,428,45117,6,21,17,20,8,27,27,88
DL,444,45642,6,97,17,19,9,28,35,70
EV,467,46377,5,101,17,19,13,19,41,108
AA,446,45459,5,59,17,20,7,22,42,106
DL,475,44407,6,97,17,18,11,26,35,56
VX,394,38720,5,156,17,17,1,29,30,42
AA,413,33783,5,71,15,17,7,20,38,6
WN,419,43910,6,11,17,18,11,23,34,84
UA,453,43081,5,21,17,20,14,25,34,99
MQ,431,45932,5,22,18,19,5,24,45,81
